圈层ID,总词数,总句子数,平均句长,型例比(TTR),分析性(Analytic),影响力(Clout),真实性(Authentic),积极语气(Tone_pos),消极语气(Tone_neg),净语气(Tone_net),高频词(Top20)
14369,10752,1104,16.62,0.1433,0.037853,0.011812,0.010045,0.001209,0.000186,0.001023,月(0); 9(1); 贴息(2); 国标(3); 电动(4); 自行车(5); 消费(6); 起(7); 实施(8)
14933,30655,1005,50.82,0.0398,0.022639,0.000489,0.027826,0.000489,0.011287,-0.010798,葱葱(0); 真的(1); 允悲(2); _(3); 文言文(4); 看不懂(5)
15040,97,47,4.09,0.0722,0.0,0.0,0.0,0.0,0.0,0.0,机会(0); 能活(1); 不错(2)
14657,250,125,4.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,
14837,3114,1357,4.43,0.0523,0.006744,0.000642,0.004817,0.000642,0.0,0.000642,留存(0); 慢慢(1); 管理学(2); 认知(3); 改变(4)
14231,71,21,6.1,0.4789,0.028169,0.014085,0.028169,0.0,0.0,0.0,索(0); 维尔(1); 香港(2); 谭叔(3); 大善(4); 在于(5); 真(6); 歧视(7); 真的(8); 是因为(9); 平等(10)
13744,3772,1886,4.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,
14812,6743,225,47.78,0.0174,0.036482,0.000148,0.036631,0.0,0.0,0.0,字节(0); 相关(1); 主体(2); 消息(3); 谣言(4); 业务(5); 9(6); 月(7); 4(8); 日(9); 跳动(10); 负责人(11); 回应(12)
14383,60,30,4.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,
14937,5391,350,27.29,0.0768,0.063625,0.017436,0.017065,0.010573,0.0,0.010573,思想(0); 赵皓阳(1); Moonfans(2); 派遣(3); 史料(4); 我国(5); 临时工(6)
12707,3934,727,9.64,0.0691,0.006863,0.0,0.011185,0.011693,0.000254,0.011439,联想(0); 小新(1); 平板(2); ProGT(3); 小新轻(4); 旗舰(5); 实力派(6); 抽(7); 喵(8); 期待(9)
14274,216,23,17.39,0.5139,0.055556,0.013889,0.0,0.00463,0.0,0.00463,莫迪(0); 印日(1); 访问(2); 日本(3); 印度(4); 再次(5); 访华(6); 关系(7); 关注(8); 时隔(9); 7(10); 年(11); 访日(12)
15124,22,11,4.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,
14848,1017,133,13.11,0.2448,0.100295,0.044248,0.016716,0.024582,0.0,0.024582,中国(0); 科技(1); 越来越(2); 无人(3); 真的(4); 太(5)
14575,536,221,4.82,0.1362,0.009328,0.026119,0.0,0.0,0.0,0.0,新规(0); 建设(1); 体现(2); 实施(3); 群众(4); 民生(5); 经济(6); 环境(7); 国家(8); 法治(9); 9(10); 月(11); 保障(12); 生态(13); 保护(14)
14785,3136,1217,4.92,0.0657,0.004783,0.011161,0.000319,0.000638,0.000957,-0.000319,平台(0); 国家(1); 免费(2); 教育(3); 职业(4); 智慧(5); 学(6); 宝藏(7)
